selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,scheme,risk_version,budget,mode,target_abstain,common_budget,abstention_rate,accept_rate,reject_rate,abstention_gap,matched,false_safe_denominator
SCROPE++,ACCEPT,ridge_return_train_only,0.006620179549432614,0.1,0,0,0.0338311797752809,0.0005206109550561,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.7333333333333333,0.125,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,constant_a001,174.00000000000003,0.1,0,0,0.037563202247191,0.000469838483146,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0117908975738122,0.1,0,0,0.0338311797752809,0.0005206109550561,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.1,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a021,0.055318728473830014,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.21666666666666667,0.6416666666666667,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,constant_a001,174.00000000000003,0.0377527770419426,0,0,0.037563202247191,0.000469838483146,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0117908975738122,0.0377527770419426,0,0,0.0338311797752809,0.0005206109550561,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0220735099337748,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a022,0.04790807972446509,0.1,0,0,0.0262523876404494,0.0004640800561797,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.3416666666666667,0.5166666666666667,0.10833333333333334,False,ACCEPT decisions
Support only,ACCEPT,constant_a001,174.00000000000003,0.1,0,0,0.037563202247191,0.000469838483146,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.14166666666666666,0.8583333333333333,0.0,0.10833333333333334,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0117908975738122,0.1,0,0,0.0338311797752809,0.0005206109550561,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0220735099337748,0.1,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,iid,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.008384619727852871,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.7083333333333334,0.175,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0109680962558262,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,ridge_return_train_only,0.008384619727852871,0.1,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.7583333333333333,0.125,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0109680962558262,0.1,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a011,-0.0135,0.1,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,bootstrap,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a021,0.055318728473830014,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.25833333333333336,0.625,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0109680962558262,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a015,-0.026142894693930906,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,baseline_linked,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
SCROPE++,ACCEPT,constant_a008,0.022147253119530252,0.1,0,0,0.0330935393258427,0.0004921348314606,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.35,0.5333333333333333,0.13333333333333333,False,ACCEPT decisions
Support only,ACCEPT,constant_a000,483.0000000000109,0.1,0,0,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.11666666666666667,0.8833333333333333,0.0,0.13333333333333333,False,ACCEPT decisions
LCB only,ACCEPT,ridge_return_train_only,0.0109680962558262,0.1,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
Risk only,ACCEPT,constant_a015,-0.026142894693930906,0.1,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,block,calibrated_extension,fixed_0.10_sensitivity,paper_natural,0.25,,0.0,1.0,0.0,0.25,False,ACCEPT decisions
